"","X","jj","date","tmp","rain","humidity","insolation","market","volume","trade_price","year","month","area","output10a","output","total_indices","indices","X5humidity","X10humidity","y"
"137",530,105,2020-06-08,28.5,0,52.8,27.5,1,0.21,0.3,2020,6,76,5864,4455,99.71,95.4,71,4,1451.21951219512
"138",531,105,2020-06-09,29.5,0,53.6,26.47,1,0.15,0.27,2020,6,76,5864,4455,99.71,95.4,66,3,1800
"139",532,105,2020-06-10,26.9,3.4,64.1,21.85,1,0.82,1.06,2020,6,76,5864,4455,99.71,95.4,74,3,1287.80487804878
"140",533,105,2020-06-11,26.3,0.6,66.1,28.27,1,0.91,1.28,2020,6,76,5864,4455,99.71,95.4,66,3,1410.43956043956
"141",534,105,2020-06-12,23.2,0,76.6,15.2,1,0.5,0.87,2020,6,76,5864,4455,99.71,95.4,68,3,1755.55555555555
"142",535,105,2020-06-13,27.4,0,55.8,28.29,1,0.58,1,2020,6,76,5864,4455,99.71,95.4,60,3,1742.60869565217
"143",537,105,2020-06-15,27.4,0,41.6,26.38,1,0.36,0.61,2020,6,76,5864,4455,99.71,95.4,62,3,1690.27777777778
"144",538,105,2020-06-16,24.8,0,48.5,28.42,1,2.92,1.73,2020,6,76,5864,4455,99.71,95.4,59,2,594.236706689537
"145",539,105,2020-06-16,24.8,0,48.5,28.42,1,0.26,0.46,2020,6,76,5864,4455,99.71,95.4,59,2,1800
"146",540,105,2020-06-17,27.1,0,51.6,27.68,1,0.24,0.43,2020,6,76,5864,4455,99.71,95.4,63,2,1800
"147",541,105,2020-06-18,22.9,0,71.4,12.47,1,3.71,3.32,2020,6,76,5864,4455,99.71,95.4,64,2,894.828979262052
"148",542,105,2020-06-19,19.1,0.3,90.5,5.24,1,0.27,0.46,2020,6,76,5864,4455,99.71,95.4,68,2,1737.7358490566
"149",543,105,2020-06-20,21.9,0,77,26.16,1,0.72,1.28,2020,6,76,5864,4455,99.71,95.4,68,2,1787.41258741259
"150",545,105,2020-06-22,26.6,0,59.1,28.44,1,1.52,0.82,2020,6,76,5864,4455,99.71,95.4,54,2,541.254125412541
"151",546,105,2020-06-22,26.6,0,59.1,28.44,1,0.37,0.66,2020,6,76,5864,4455,99.71,95.4,54,2,1779.72972972973
"152",547,105,2020-06-23,22.9,0,76.4,22.47,1,0.42,0.74,2020,6,76,5864,4455,99.71,95.4,58,1,1779.9043062201
"153",548,105,2020-06-23,22.9,0,76.4,22.47,1,0.15,0.09,2020,6,76,5864,4455,99.71,95.4,58,1,613.333333333333
"154",549,105,2020-06-24,21.2,13.8,88.8,5.07,1,6.62,5.18,2020,6,76,5864,4455,99.71,95.4,87,1,781.820927072324
"155",550,105,2020-06-24,21.2,13.8,88.8,5.07,1,0.18,0.11,2020,6,76,5864,4455,99.71,95.4,87,1,620
"156",551,105,2020-06-25,20.5,0,90.4,6.39,1,0.28,0.51,2020,6,76,5864,4455,99.71,95.4,98,19,1796.81978798587
"157",553,105,2020-06-27,26,0.1,61.4,16.75,1,4.1,4.44,2020,6,76,5864,4455,99.71,95.4,80,17,1084.18740849195
"158",555,105,2020-06-29,22.2,2.2,85.4,9.26,1,4.44,3.87,2020,6,76,5864,4455,99.71,95.4,83,15,871.820841773576
"159",556,105,2020-06-29,22.2,2.2,85.4,9.26,1,0.07,0.04,2020,6,76,5864,4455,99.71,95.4,83,15,520
"160",557,105,2020-06-30,18.7,250,97.8,2.41,1,0.47,0.8,2020,6,76,5864,4455,99.71,95.4,79,20,1717.94871794872
"161",558,105,2020-07-01,19.5,6.7,83.8,13.65,1,3.62,3.18,2020,7,76,5864,4455,99.63,88.5,89,19,877.624309392265
"162",559,105,2020-07-02,24.3,0,62.5,29.31,1,3.37,2.66,2020,7,76,5864,4455,99.63,88.5,76,17,789.450222882615
"163",560,105,2020-07-03,22.1,0,77.1,21.24,1,0.5,0.82,2020,7,76,5864,4455,99.63,88.5,60,14,1638.55421686747
"164",561,105,2020-07-04,21.8,0.5,73.3,26.75,1,4.15,3.77,2020,7,76,5864,4455,99.63,88.5,56,12,909.40892641737
"165",562,105,2020-07-04,21.8,0.5,73.3,26.75,1,0.09,0.12,2020,7,76,5864,4455,99.63,88.5,56,12,1333.33333333333
"166",564,105,2020-07-06,24.5,0,74.3,24.07,1,0.23,0.38,2020,7,76,5864,4455,99.63,88.5,72,9,1651.31578947368
"167",565,105,2020-07-07,24.7,0,76.3,22.54,1,0.25,0.4,2020,7,76,5864,4455,99.63,88.5,78,8,1620
"168",566,105,2020-07-07,24.7,0,76.3,22.54,1,0.12,0.2,2020,7,76,5864,4455,99.63,88.5,78,8,1666.66666666667
"169",567,105,2020-07-08,24,0.4,76.1,23.55,1,0.4,0.66,2020,7,76,5864,4455,99.63,88.5,72,7,1641.43920595533
"170",568,105,2020-07-09,22.8,0,85.6,9.21,1,0.09,0.16,2020,7,76,5864,4455,99.63,88.5,69,6,1725.8064516129
"171",569,105,2020-07-10,22,22.5,94.5,5.07,1,0.07,0.12,2020,7,76,5864,4455,99.63,88.5,85,5,1671.42857142857
"172",570,105,2020-07-11,20,8.2,92.4,5.1,1,0.56,0.91,2020,7,76,5864,4455,99.63,88.5,68,8,1625.22202486678
"173",571,105,2020-07-11,20,8.2,92.4,5.1,1,0.06,0.06,2020,7,76,5864,4455,99.63,88.5,68,8,1000
"174",573,105,2020-07-13,18.5,49,96.4,3.73,1,0.19,0.34,2020,7,76,5864,4455,99.63,88.5,82,17,1800
"175",574,105,2020-07-14,18.3,42.2,95.5,6.54,1,0.09,0.09,2020,7,76,5864,4455,99.63,88.5,82,19,1000
"176",575,105,2020-07-15,19.1,0,83.9,12.29,1,0.34,0.58,2020,7,76,5864,4455,99.63,88.5,77,17,1732.83582089552
"177",576,105,2020-07-16,21.2,0,76.3,28.54,1,0.14,0.25,2020,7,76,5864,4455,99.63,88.5,84,15,1793.47826086957
"178",577,105,2020-07-16,21.2,0,76.3,28.54,1,0.11,0.09,2020,7,76,5864,4455,99.63,88.5,84,15,866.666666666667
"179",578,105,2020-07-17,22.3,0,76.4,28.39,1,0.29,0.51,2020,7,76,5864,4455,99.63,88.5,83,13,1770.83333333333
"180",579,105,2020-07-18,21.6,0,80.3,21.52,1,0.62,1.11,2020,7,76,5864,4455,99.63,88.5,78,11,1800
"181",581,105,2020-07-20,28,0,67.5,6.75,1,0.25,0.42,2020,7,76,5864,4455,99.63,88.5,95,18,1675.40322580645
"182",582,105,2020-07-21,27.1,0,64.1,26.8,1,0.09,0.16,2020,7,76,5864,4455,99.63,88.5,76,17,1800
"183",584,105,2020-07-23,21.6,30.1,91.9,5.89,1,0.28,0.5,2020,7,76,5864,4455,99.63,88.5,94,19,1796.76258992806
"184",585,105,2020-07-24,20.5,121.8,98.8,3.31,1,0.27,0.47,2020,7,76,5864,4455,99.63,88.5,80,22,1771.69811320755
"185",586,105,2020-07-25,20.9,54.5,99.8,3.18,1,0.33,0.6,2020,7,76,5864,4455,99.63,88.5,76,19,1797.2972972973
"186",588,105,2020-07-27,20.8,1.5,96.4,3.58,1,0.31,0.55,2020,7,76,5864,4455,99.63,88.5,99,17,1772.72727272727
"187",589,105,2020-07-28,21.3,3.9,96.4,4.63,1,0.16,0.28,2020,7,76,5864,4455,99.63,88.5,93,19,1794.30379746835
"188",590,105,2020-07-29,21.8,19.4,94.6,5.57,1,0.23,0.41,2020,7,76,5864,4455,99.63,88.5,99,24,1796.05263157895
"189",591,105,2020-07-30,22.9,9.7,90.4,9.27,1,0.21,0.38,2020,7,76,5864,4455,99.63,88.5,90,20,1800
"190",592,105,2020-07-30,22.9,9.7,90.4,9.27,1,0.05,0.03,2020,7,76,5864,4455,99.63,88.5,90,20,700
"191",593,105,2020-07-31,29.4,0,60,24.89,1,0.14,0.25,2020,7,76,5864,4455,99.63,88.5,87,18,1793.47826086957
"192",594,105,2020-08-01,27.7,0.8,74.6,9.24,1,0.56,1.01,2020,8,76,5864,4455,100.19,91.3,99,20,1800
"193",596,105,2020-08-03,27.2,10.3,70.9,1.96,1,0.11,0.19,2020,8,76,5864,4455,100.19,91.3,99,38,1800
"194",597,105,2020-08-04,25.6,4.7,83.5,6.04,1,0.14,0.25,2020,8,76,5864,4455,100.19,91.3,99,26,1793.47826086957
"195",598,105,2020-08-05,22.7,7.9,94.9,2.73,1,0.28,0.5,2020,8,76,5864,4455,100.19,91.3,99,27,1800
"196",599,105,2020-08-06,24.1,5.8,88.5,4.21,1,0.27,0.49,2020,8,76,5864,4455,100.19,91.3,97,27,1796.7032967033
"197",600,105,2020-08-07,25.7,0.3,76.5,6.84,1,0.14,0.25,2020,8,76,5864,4455,100.19,91.3,96,23,1800
"198",601,105,2020-08-08,21.9,8.4,93.8,3.7,1,0.96,1.72,2020,8,76,5864,4455,100.19,91.3,84,21,1799.06054279749
"199",603,105,2020-08-10,25,9.5,91.5,7.4,1,0.24,0.43,2020,8,76,5864,4455,100.19,91.3,99,24,1800
"200",604,105,2020-08-11,25.6,17.5,82.8,8.42,1,0.15,0.27,2020,8,76,5864,4455,100.19,91.3,98,27,1800
"201",605,105,2020-08-12,30.4,0,63.6,21.54,1,0.12,0.22,2020,8,76,5864,4455,100.19,91.3,87,22,1800
"202",606,105,2020-08-13,31,0,63.4,21.92,1,4.36,4.59,2020,8,76,5864,4455,100.19,91.3,94,20,1052.6376146789
"203",607,105,2020-08-14,31.4,0.9,61.1,14.83,1,0.27,0.33,2020,8,76,5864,4455,100.19,91.3,94,19,1216.66666666667
"204",608,105,2020-08-15,27.9,37.9,78.3,2.68,1,4.56,5.13,2020,8,76,5864,4455,100.19,91.3,99,25,1124.56140350877
"205",610,105,2020-08-17,30.5,0,63.5,24.29,1,0.75,1.01,2020,8,76,5864,4455,100.19,91.3,89,20,1357.04697986577
"206",611,105,2020-08-18,31.2,0,60,25.1,1,0.21,0.37,2020,8,76,5864,4455,100.19,91.3,88,18,1800
"207",612,105,2020-08-19,31.6,0,51.3,25.34,1,0.24,0.33,2020,8,76,5864,4455,100.19,91.3,84,15,1362.5
"208",613,105,2020-08-20,26.8,3.7,75.5,18.59,1,0.48,0.73,2020,8,76,5864,4455,100.19,91.3,90,13,1526.31578947368
"209",614,105,2020-08-21,22.7,0.7,90.6,6.07,1,0.28,0.47,2020,8,76,5864,4455,100.19,91.3,94,11,1678.57142857143
"210",615,105,2020-08-22,23.1,11.3,91.6,4.3,1,0.48,0.83,2020,8,76,5864,4455,100.19,91.3,95,11,1742.1052631579
